neuronio_id,Intercept,sepal length,sepal width,petal length,petal width
0,4.1313139322393896e-11,1.0942254291001862e-10,2.4575045702737916e-10,6.228163981431647e-11,0.9999999929126604
1,-4.629668777373671e-10,2.2122449397012672e-11,-2.532101468175291e-11,9.053470858452945e-10,0.9999999968253925
2,4.140412961520419e-10,1.0940052034061585e-09,2.457559028633174e-09,6.228050588176646e-10,0.999999929126576
3,-4.628722374471547e-09,2.2129116394104595e-10,-2.534572809840389e-10,9.053152491689233e-09,0.9999999682542513
4,2.2131337490546234e-07,1.088011600212117e-06,2.421009026391997e-06,7.977095268975012e-07,0.9999295745424454
5,-4.748550910555836e-06,2.3578739413801731e-07,-2.626278825883551e-07,9.100922759331635e-06,0.9999682736024508
6,-9.738404893669981e-07,-1.0962807179574524e-06,1.37214117153551e-06,2.7573264549146443e-06,0.9999940336286139
7,1.4567015349636518e-06,-1.169711068052148e-06,1.1709916015832868e-06,1.7900885174350772e-06,0.9999964454966972
8,-9.738929489003469e-10,-1.0962467020172609e-09,1.3722098330336682e-09,2.7572283444907706e-09,0.9999999940337004
9,1.456731963819544e-09,-1.1697449148085989e-09,1.1711174711965973e-09,1.7900898148331844e-09,0.999999996445401
10,-9.732626275831426e-11,-1.0964083756994603e-10,1.3720122794125323e-10,2.7575041029408946e-10,0.999999999403345
11,1.457991163653603e-10,-1.1699522412435522e-10,1.1708167122844305e-10,1.7903337481536534e-10,0.9999999996445251
