sepal length,sepal width,petal length,y_real,y_pred_cv,erro_abs
4.9,3.1,1.5,0.1,0.2640239071780258,0.1640239071780258
4.8,3.0,1.4,0.1,0.22127791753894976,0.12127791753894976
5.7,3.8,1.7,0.3,0.32513817123006317,0.025138171230063178
5.1,3.8,1.5,0.3,0.2752771970666672,0.024722802933332788
5.4,3.4,1.5,0.4,0.26757228121504545,0.13242771878495457
5.5,3.5,1.3,0.2,0.2245925296237823,0.024592529623782278
5.6,2.9,3.6,1.3,1.0990971085578853,0.2009028914421147
6.2,2.2,4.5,1.5,1.2951544226786014,0.20484557732139863
6.1,2.8,4.7,1.2,1.544682075601101,0.3446820756011011
6.8,2.8,4.8,1.4,1.4475014194722584,0.0475014194722585
6.0,2.9,4.5,1.5,1.4828743179227672,0.01712568207723275
5.8,2.7,3.9,1.2,1.1715665130567192,0.02843348694328074
6.5,3.2,5.1,2.0,1.8994827233690619,0.10051727663093812
7.7,2.6,6.9,2.3,2.1220875734078875,0.17791242659211237
6.9,3.1,5.1,2.3,1.6927610079445767,0.6072389920554231
5.0,3.4,1.6,0.4,0.2877491756376509,0.11225082436234912
4.7,3.2,1.6,0.2,0.30479063053349664,0.10479063053349663
4.8,3.1,1.6,0.2,0.3033964067557726,0.10339640675577261
4.8,3.0,1.4,0.3,0.20296317845871037,0.09703682154128962
5.7,2.8,4.5,1.3,1.5196922662038843,0.21969226620388427
6.3,3.3,4.7,1.6,1.8061065256020759,0.20610652560207576
5.6,2.5,3.9,1.1,1.1846572694269972,0.08465726942699714
6.5,3.0,5.8,2.2,2.1803425397933456,0.019657460206654598
6.7,2.5,5.8,1.8,1.881762062682907,0.08176206268290698
6.1,3.0,4.9,1.8,1.685542806824703,0.11445719317529712
6.4,2.8,5.6,2.1,2.0198072783792154,0.08019272162078472
7.9,3.8,6.4,2.0,2.3569687530304524,0.3569687530304524
6.4,2.8,5.6,2.2,2.0198072783792154,0.1801927216207848
6.8,3.2,5.9,2.3,2.216021680494174,0.0839783195058259
6.7,3.0,5.2,2.3,1.7908726533953419,0.509127346604658
5.0,3.6,1.4,0.2,0.25837831638872805,0.058378316388728035
5.4,3.7,1.5,0.2,0.27838563540898004,0.07838563540898003
4.8,3.4,1.6,0.2,0.3441023347702897,0.14410233477028966
5.7,4.4,1.5,0.4,0.26384632143718123,0.1361536785628188
5.4,3.9,1.3,0.4,0.20169391657415464,0.19830608342584538
4.6,3.6,1.0,0.2,0.12361902423374738,0.07638097576625263
5.2,3.5,1.5,0.2,0.28769911171914075,0.08769911171914074
5.2,4.1,1.5,0.1,0.2868408980029038,0.1868408980029038
