sepal length,sepal width,petal length,petal width,y_real,y_pred,neuronio_vencedor,classe_original
5.1,3.5,1.4,0.2,0.2,0.2000000001292211,0,Iris-setosa
4.9,3.0,1.4,0.2,0.2,0.19999999998446136,0,Iris-setosa
4.7,3.2,1.3,0.2,0.2,0.20000000000549878,0,Iris-setosa
4.6,3.1,1.5,0.2,0.2,0.1999999999824378,0,Iris-setosa
5.0,3.6,1.4,0.2,0.2,0.20000000018905414,1,Iris-setosa
5.4,3.9,1.7,0.4,0.4,0.39999999982698947,1,Iris-setosa
4.6,3.4,1.4,0.3,0.3,0.2999999993412008,0,Iris-setosa
5.0,3.4,1.5,0.2,0.2,0.20000000009993196,0,Iris-setosa
4.4,2.9,1.4,0.2,0.2,0.19999999990517503,0,Iris-setosa
4.9,3.1,1.5,0.1,0.1,0.10000000072399852,0,Iris-setosa
5.4,3.7,1.5,0.2,0.2,0.20000000028590573,1,Iris-setosa
4.8,3.4,1.6,0.2,0.2,0.20000000008427563,0,Iris-setosa
4.8,3.0,1.4,0.1,0.1,0.10000000068225305,0,Iris-setosa
4.3,3.0,1.1,0.1,0.1,0.10000000060885729,0,Iris-setosa
5.8,4.0,1.2,0.2,0.2,0.2000000000155543,1,Iris-setosa
5.7,4.4,1.5,0.4,0.4,0.39999999963989624,1,Iris-setosa
5.4,3.9,1.3,0.4,0.4,0.3999999994648506,1,Iris-setosa
5.1,3.5,1.4,0.3,0.3,0.29999999987633774,1,Iris-setosa
5.7,3.8,1.7,0.3,0.3,0.30000000015361905,1,Iris-setosa
5.1,3.8,1.5,0.3,0.3,0.2999999999592761,1,Iris-setosa
5.4,3.4,1.7,0.2,0.2,0.20000000047457145,1,Iris-setosa
5.1,3.7,1.5,0.4,0.4,0.3999999996443475,1,Iris-setosa
4.6,3.6,1.0,0.2,0.2,0.2000000000741722,0,Iris-setosa
5.1,3.3,1.7,0.5,0.5,0.4999999995180846,1,Iris-setosa
4.8,3.4,1.9,0.2,0.2,0.2000000001029601,0,Iris-setosa
5.0,3.0,1.6,0.2,0.2,0.20000000000785995,0,Iris-setosa
5.0,3.4,1.6,0.4,0.4,0.3999999997402663,1,Iris-setosa
5.2,3.5,1.5,0.2,0.2,0.20000000028654544,1,Iris-setosa
5.2,3.4,1.4,0.2,0.2,0.2000000001155883,0,Iris-setosa
4.7,3.2,1.6,0.2,0.2,0.20000000002418328,0,Iris-setosa
4.8,3.1,1.6,0.2,0.2,0.2000000000105505,0,Iris-setosa
5.4,3.4,1.5,0.4,0.4,0.3999999996585805,1,Iris-setosa
5.2,4.1,1.5,0.1,0.1,0.10000000058881359,1,Iris-setosa
5.5,4.2,1.4,0.2,0.2,0.20000000018492275,1,Iris-setosa
4.9,3.1,1.5,0.1,0.1,0.10000000072399852,0,Iris-setosa
5.0,3.2,1.2,0.2,0.2,0.20000000003209736,0,Iris-setosa
5.5,3.5,1.3,0.2,0.2,0.20000000011211277,1,Iris-setosa
4.9,3.1,1.5,0.1,0.1,0.10000000072399852,0,Iris-setosa
4.4,3.0,1.3,0.2,0.2,0.1999999999235219,0,Iris-setosa
5.1,3.4,1.5,0.2,0.2,0.2000000001108742,0,Iris-setosa
5.0,3.5,1.3,0.3,0.3,0.2999999994033167,0,Iris-setosa
4.5,2.3,1.3,0.3,0.3,0.2999999990537049,0,Iris-setosa
4.4,3.2,1.3,0.2,0.2,0.199999999972672,0,Iris-setosa
5.0,3.5,1.6,0.6,0.6,0.5999999991028127,1,Iris-setosa
5.1,3.8,1.9,0.4,0.4,0.40000000000395425,1,Iris-setosa
4.8,3.0,1.4,0.3,0.3,0.2999999992647851,0,Iris-setosa
5.1,3.8,1.6,0.2,0.2,0.2000000003672716,1,Iris-setosa
4.6,3.2,1.4,0.2,0.2,0.2000000000007847,0,Iris-setosa
5.3,3.7,1.5,0.2,0.2,0.2000000002836935,1,Iris-setosa
