neuronio_id,Intercept,sepal length,sepal width,petal length
0,-0.2446309882769763,-0.1427143894735663,0.16927233325046293,0.5187617588374456
1,-0.4953865282905767,-0.004053275017216851,0.07094114456112004,0.4854103258152904
2,-0.43645728889728436,-0.11596122912481462,0.18068124796832108,0.5004567690420398
3,-0.457566671864571,-0.10445000569683692,0.1760042575239307,0.5184423756975869
4,-0.21747924730937476,-0.1867079838296384,0.205552493958713,0.5156249436635103
5,-0.22160262607322892,-0.20000956577559467,0.21045225836375392,0.5222876068547105
6,-0.20670142538358557,-0.20059934979238456,0.2068778505681279,0.5203171957174549
7,-0.2951218797389528,-0.14304682267666977,0.1664404071189626,0.47784399993448423
8,-0.2364080897139919,-0.11332651295553535,0.09977613669205232,0.43035083915574696
9,-0.20211519406919062,-0.12542172078180158,0.11466123346506771,0.45079871661580795
10,-0.5684951092627581,-0.001845127585437702,0.04958135210195541,0.3664986522233007
11,-0.2937224756118632,-0.09031144580964375,0.09016052248630567,0.42512434076279604
