sepal length,sepal width,petal length,petal width,y_pred,neuronio_id,classe_original
5.1,3.5,1.4,0.2,0.18745244952802753,4,Iris-setosa
4.9,3.0,1.4,0.2,0.21535429755948632,7,Iris-setosa
4.7,3.2,1.3,0.2,0.1888450310840677,6,Iris-setosa
4.6,3.1,1.5,0.2,0.20539215963162782,0,Iris-setosa
5.0,3.6,1.4,0.2,0.22096471614090218,4,Iris-setosa
5.4,3.9,1.7,0.4,0.39990005931167316,6,Iris-setosa
4.6,3.4,1.4,0.3,0.2972837803981545,6,Iris-setosa
5.0,3.4,1.5,0.2,0.19593033348668754,0,Iris-setosa
4.4,2.9,1.4,0.2,0.21244700724600152,4,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
5.4,3.7,1.5,0.2,0.18646850734174714,0,Iris-setosa
4.8,3.4,1.6,0.2,0.17866750827737354,1,Iris-setosa
4.8,3.0,1.4,0.1,0.11414313028976397,1,Iris-setosa
4.3,3.0,1.1,0.1,0.08733856668262197,4,Iris-setosa
5.8,4.0,1.2,0.2,0.20556043163687643,9,Iris-setosa
5.7,4.4,1.5,0.4,0.3998538184806053,9,Iris-setosa
5.4,3.9,1.3,0.4,0.4589115583774679,10,Iris-setosa
5.1,3.5,1.4,0.3,0.303766357995476,9,Iris-setosa
5.7,3.8,1.7,0.3,0.2774320989586382,0,Iris-setosa
5.1,3.8,1.5,0.3,0.2886932436418904,4,Iris-setosa
5.4,3.4,1.7,0.2,0.19282568686080093,3,Iris-setosa
5.1,3.7,1.5,0.4,0.3991047061990541,11,Iris-setosa
4.6,3.6,1.0,0.2,0.20966719483386803,9,Iris-setosa
5.1,3.3,1.7,0.5,0.4895845975057622,10,Iris-setosa
4.8,3.4,1.9,0.2,0.3393931956527887,1,Iris-setosa
5.0,3.0,1.6,0.2,0.21547579053795263,0,Iris-setosa
5.0,3.4,1.6,0.4,0.40562951094404043,11,Iris-setosa
5.2,3.5,1.5,0.2,0.18683134284954572,0,Iris-setosa
5.2,3.4,1.4,0.2,0.18632868210711417,6,Iris-setosa
4.7,3.2,1.6,0.2,0.19404555887186647,1,Iris-setosa
4.8,3.1,1.6,0.2,0.21063706847437424,1,Iris-setosa
5.4,3.4,1.5,0.4,0.450986553129409,10,Iris-setosa
5.2,4.1,1.5,0.1,0.07423659683993056,1,Iris-setosa
5.5,4.2,1.4,0.2,0.19860238419528142,2,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
5.0,3.2,1.2,0.2,0.18960737335434324,9,Iris-setosa
5.5,3.5,1.3,0.2,0.21360010006585217,9,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
4.4,3.0,1.3,0.2,0.20575800257258492,6,Iris-setosa
5.1,3.4,1.5,0.2,0.18701276060344507,0,Iris-setosa
5.0,3.5,1.3,0.3,0.3035454086248234,11,Iris-setosa
4.5,2.3,1.3,0.3,0.22944917658552177,10,Iris-setosa
4.4,3.2,1.3,0.2,0.2079406632423615,4,Iris-setosa
5.0,3.5,1.6,0.6,0.4848920045443755,10,Iris-setosa
5.1,3.8,1.9,0.4,0.4059008245625564,3,Iris-setosa
4.8,3.0,1.4,0.3,0.2915657356628524,11,Iris-setosa
5.1,3.8,1.6,0.2,0.1538463966252287,1,Iris-setosa
4.6,3.2,1.4,0.2,0.22603451577877098,4,Iris-setosa
5.3,3.7,1.5,0.2,0.1953860802249896,0,Iris-setosa
5.0,3.3,1.4,0.2,0.1725974910857907,4,Iris-setosa
