sepal length,sepal width,petal length,y_real,y_pred,neuronio_vencedor,classe_original
5.1,3.5,1.4,0.2,0.1906665503334894,9,Iris-setosa
4.9,3.0,1.4,0.2,0.20618403493045023,4,Iris-setosa
4.7,3.2,1.3,0.2,0.18636455637620908,7,Iris-setosa
4.6,3.1,1.5,0.2,0.2080290045155173,11,Iris-setosa
5.0,3.6,1.4,0.2,0.2146748457581763,9,Iris-setosa
5.4,3.9,1.7,0.4,0.3938776654596077,7,Iris-setosa
4.6,3.4,1.4,0.3,0.3050936993923937,5,Iris-setosa
5.0,3.4,1.5,0.2,0.19895258293755147,11,Iris-setosa
4.4,2.9,1.4,0.2,0.20966501480170974,9,Iris-setosa
4.9,3.1,1.5,0.1,0.12591393541960993,10,Iris-setosa
5.4,3.7,1.5,0.2,0.18987616135958557,11,Iris-setosa
4.8,3.4,1.6,0.2,0.1776227190310704,10,Iris-setosa
4.8,3.0,1.4,0.1,0.08449044774562814,10,Iris-setosa
4.3,3.0,1.1,0.1,0.11472640403618761,7,Iris-setosa
5.8,4.0,1.2,0.2,0.2142406969025229,2,Iris-setosa
5.7,4.4,1.5,0.4,0.396153633775289,4,Iris-setosa
5.4,3.9,1.3,0.4,0.39042967396469797,1,Iris-setosa
5.1,3.5,1.4,0.3,0.30516428711414056,2,Iris-setosa
5.7,3.8,1.7,0.3,0.28505150288867115,9,Iris-setosa
5.1,3.8,1.5,0.3,0.3245788715638157,7,Iris-setosa
5.4,3.4,1.7,0.2,0.21316550770213782,10,Iris-setosa
5.1,3.7,1.5,0.4,0.39134621361200883,2,Iris-setosa
4.6,3.6,1.0,0.2,0.18103031885656418,2,Iris-setosa
5.1,3.3,1.7,0.5,0.5432451000593072,1,Iris-setosa
4.8,3.4,1.9,0.2,0.28757231469806066,10,Iris-setosa
5.0,3.0,1.6,0.2,0.20540080801930888,11,Iris-setosa
5.0,3.4,1.6,0.4,0.3987836390381979,2,Iris-setosa
5.2,3.5,1.5,0.2,0.18990634602425316,11,Iris-setosa
5.2,3.4,1.4,0.2,0.19591362645511512,7,Iris-setosa
4.7,3.2,1.6,0.2,0.167890961369223,10,Iris-setosa
4.8,3.1,1.6,0.2,0.1627483134004838,10,Iris-setosa
5.4,3.4,1.5,0.4,0.45204116684719603,1,Iris-setosa
5.2,4.1,1.5,0.1,0.17494174924593398,10,Iris-setosa
5.5,4.2,1.4,0.2,0.1834128439454944,11,Iris-setosa
4.9,3.1,1.5,0.1,0.12591393541960993,10,Iris-setosa
5.0,3.2,1.2,0.2,0.20598264136160827,0,Iris-setosa
5.5,3.5,1.3,0.2,0.20873411856001078,2,Iris-setosa
4.9,3.1,1.5,0.1,0.12591393541960993,10,Iris-setosa
4.4,3.0,1.3,0.2,0.19599052175541753,7,Iris-setosa
5.1,3.4,1.5,0.2,0.18992143835658704,11,Iris-setosa
5.0,3.5,1.3,0.3,0.3086405172204918,0,Iris-setosa
4.5,2.3,1.3,0.3,0.2805717901824011,1,Iris-setosa
4.4,3.2,1.3,0.2,0.1989835131796493,9,Iris-setosa
5.0,3.5,1.6,0.6,0.5092976238917238,1,Iris-setosa
5.1,3.8,1.9,0.4,0.3960353836562276,11,Iris-setosa
4.8,3.0,1.4,0.3,0.3044234043737182,0,Iris-setosa
5.1,3.8,1.6,0.2,0.1969017215962212,10,Iris-setosa
4.6,3.2,1.4,0.2,0.2189790406848699,9,Iris-setosa
5.3,3.7,1.5,0.2,0.19890730594055,11,Iris-setosa
5.0,3.3,1.4,0.2,0.20787895027855285,7,Iris-setosa
7.0,3.2,4.7,1.4,1.4056026756407125,9,Iris-versicolor
6.4,3.2,4.5,1.5,1.4722857576162203,7,Iris-versicolor
6.9,3.1,4.9,1.5,1.4968384676955473,9,Iris-versicolor
5.5,2.3,4.0,1.3,1.2908973523866951,4,Iris-versicolor
6.5,2.8,4.6,1.5,1.5163405817345192,4,Iris-versicolor
5.7,2.8,4.5,1.3,1.2090593843905753,10,Iris-versicolor
6.3,3.3,4.7,1.6,1.5988032805826804,7,Iris-versicolor
4.9,2.4,3.3,1.0,0.9802908660146734,7,Iris-versicolor
6.6,2.9,4.6,1.3,1.2490067699962069,10,Iris-versicolor
5.2,2.7,3.9,1.4,1.4001650884321017,2,Iris-versicolor
5.0,2.0,3.5,1.0,0.9949788208863184,7,Iris-versicolor
5.9,3.0,4.2,1.5,1.5233336331478402,2,Iris-versicolor
6.0,2.2,4.0,1.0,0.9955077087421204,10,Iris-versicolor
6.1,2.9,4.7,1.4,1.414927621744738,11,Iris-versicolor
5.6,2.9,3.6,1.3,1.3146005289121991,0,Iris-versicolor
6.7,3.1,4.4,1.4,1.3649432701078745,7,Iris-versicolor
5.6,3.0,4.5,1.5,1.4681010947190596,9,Iris-versicolor
5.8,2.7,4.1,1.0,1.0573172755325155,10,Iris-versicolor
6.2,2.2,4.5,1.5,1.4941372967483506,2,Iris-versicolor
5.6,2.5,3.9,1.1,1.0839196630448003,11,Iris-versicolor
5.9,3.2,4.8,1.8,1.8137113583484896,4,Iris-versicolor
6.1,2.8,4.0,1.3,1.2816488090682685,4,Iris-versicolor
6.3,2.5,4.9,1.5,1.5032947600855877,9,Iris-versicolor
6.1,2.8,4.7,1.2,1.2816210638010603,10,Iris-versicolor
6.4,2.9,4.3,1.3,1.3267848354936342,7,Iris-versicolor
6.6,3.0,4.4,1.4,1.3626039116636453,7,Iris-versicolor
6.8,2.8,4.8,1.4,1.385205991505636,11,Iris-versicolor
6.7,3.0,5.0,1.7,1.7263594612257385,4,Iris-versicolor
6.0,2.9,4.5,1.5,1.4795723645511996,7,Iris-versicolor
5.7,2.6,3.5,1.0,0.994710289284027,7,Iris-versicolor
5.5,2.4,3.8,1.1,1.0962874250871333,9,Iris-versicolor
5.5,2.4,3.7,1.0,0.9989098872245753,11,Iris-versicolor
5.8,2.7,3.9,1.2,1.18818724770205,7,Iris-versicolor
6.0,2.7,5.1,1.6,1.575976398133559,11,Iris-versicolor
5.4,3.0,4.5,1.5,1.4931854388754198,9,Iris-versicolor
6.0,3.4,4.5,1.6,1.5627925681106807,7,Iris-versicolor
6.7,3.1,4.7,1.5,1.50829647008822,7,Iris-versicolor
6.3,2.3,4.4,1.3,1.2890096734833723,7,Iris-versicolor
5.6,3.0,4.1,1.3,1.287781608072736,9,Iris-versicolor
5.5,2.5,4.0,1.3,1.3320078511784377,4,Iris-versicolor
5.5,2.6,4.4,1.2,1.1628622742649417,10,Iris-versicolor
6.1,3.0,4.6,1.4,1.3814312399170885,11,Iris-versicolor
5.8,2.6,4.0,1.2,1.2193276069836023,7,Iris-versicolor
5.0,2.3,3.3,1.0,1.023313883737057,4,Iris-versicolor
5.6,2.7,4.2,1.3,1.2984631096947967,9,Iris-versicolor
5.7,3.0,4.2,1.2,1.109026059143976,10,Iris-versicolor
5.7,2.9,4.2,1.3,1.30885318430963,9,Iris-versicolor
6.2,2.9,4.3,1.3,1.29122219558031,9,Iris-versicolor
5.1,2.5,3.0,1.1,1.1175256079702887,1,Iris-versicolor
5.7,2.8,4.1,1.3,1.3147047706685098,7,Iris-versicolor
6.3,3.3,6.0,2.5,2.527437610790757,0,Iris-virginica
5.8,2.7,5.1,1.9,1.8842933928511498,4,Iris-virginica
7.1,3.0,5.9,2.1,2.115738716991043,4,Iris-virginica
